address,company_name,job_name,pay,person_count,study,years
北京 朝阳区 望京,阿里巴巴集团,高级测试开发工程师,20k-40k,10000人以上,本科,5-10年
北京 海淀区 马连洼,百度,分布式计算开发测试工程师,20k-40k,10000人以上,本科,经验不限
北京 海淀区 四季青,亚信科技,自动化测试工程师,10k-20k,10000人以上,本科,3-5年
北京 朝阳区 大望路,爱接力科技,自动化测试工程师,13k-25k,20-99人,本科,3-5年
北京 西城区 月坛,网联,自动化测试工程师,20k-40k,100-499人,学历不限,1-3年
北京 朝阳区 三元桥,北京跃盟科技有限公司,自动化测试开发工程师,15k-30k,20-99人,本科,经验不限
北京 海淀区 马连洼,百度,测试开发工程师,15k-30k,10000人以上,本科,1-3年
北京 海淀区 上地,浪潮信息,ATE 自动化测试工程师,15k-30k,1000-9999人,本科,经验不限
北京 海淀区 中关村,Face++,接口自动化测试工程师,25k-50k,1000-9999人,本科,3-5年
北京  ,京东数字科技,测试工程师、自动化测试工程师,12k-24k,1000-9999人,本科,3-5年
北京 海淀区 中关村,旷视科技,自动化测试工程师,10k-15k,1000-9999人,本科,3-5年
北京 东城区 安贞,爱思特信息技术,Android开发测试工程师（自动化测试）,14k-20k,100-499人,本科,3-5年
北京 海淀区 万柳,万门教育,自动化测试工程师,10k-20k,500-999人,本科,3-5年
北京  ,京东集团,软件自动化测试工程师,17k-20k,10000人以上,本科,3-5年
北京 朝阳区 望京,北京尚德机构,自动化测试工程师,10k-15k,10000人以上,本科,1-3年
北京 朝阳区 望京,北京尚德机构,自动化测试工程师（J2115）,10k-15k,10000人以上,本科,3-5年
北京 海淀区 五道口,魔门塔科技,无人驾驶自动化测试开发工程师,20k-30k,500-999人,本科,经验不限
北京 海淀区 中关村,中国移动设计院,性能与自动化测试工程师,8k-10k,10000人以上,本科,3-5年
北京 海淀区 西北旺,用友网络,自动化测试平台开发工程师,15k-20k,10000人以上,本科,1-3年
北京 东城区 东直门,ADVENT,软件自动化测试工程师,14k-18k,100-499人,本科,5-10年
北京 东城区 东直门,ADVENT,高级软件自动化测试工程师,16k-19k,100-499人,本科,5-10年
北京 海淀区 西北旺,百度,测试工程师,10k-20k,10000人以上,硕士,1年以内
北京 海淀区 万柳,好未来,自动化测试开发工程师,14k-26k,10000人以上,本科,3-5年
北京 海淀区 西北旺,百度,测试开发工程师,10k-20k,10000人以上,硕士,应届生
北京 海淀区 牡丹园,客栈通,测试工程师、测试开发工程师、自动化测试,13k-20k,,本科,1-3年
北京 朝阳区 望京,慧与软件(济宁),ios自动化测试平台高级开发工程师,25k-40k,1000-9999人,本科,5-10年
北京 朝阳区 望京,慧与软件(济宁),安卓自动化测试平台高级开发工程师,25k-40k,1000-9999人,本科,5-10年
北京 海淀区 马连洼,百度,客户端&前端测试开发工程师,15k-30k,10000人以上,本科,经验不限
北京 海淀区 马连洼,百度,测试工程师,10k-20k,10000人以上,硕士,经验不限
北京 海淀区 马连洼,百度,客户端高级开发测试工程师,18k-25k,10000人以上,本科,1-3年
北京 海淀区 西北旺,百度,系统级测试开发工程师,20k-30k,10000人以上,本科,1-3年
北京 海淀区 清河,小米,测试开发工程师,15k-30k,10000人以上,本科,1-3年
北京 海淀区 上地,百度北京公司,测试开发工程师,15k-30k,1000-9999人,本科,经验不限
